bfa_env,s,s_se,cluster,n_bcs,source
pH7_3,-0.04595957400275686,0.043698821640092866,1,504,FLC4_2N
GlyEtOH,-0.046471899176007754,0.019226738091161873,1,504,FLC4_2N
X02M_NaCl,-0.06511276887404636,0.0170171148530215,1,504,FLC4_2N
SC,-0.026696133688685005,0.006357891829384725,2,35,FLC4_2N
YPD,-0.02519590646184763,0.008449190517463264,2,35,FLC4_2N
pH3_8,-0.03646222717387299,0.008955116628160025,2,35,FLC4_2N
X21C,-0.03916493076881763,0.007750947053369975,2,35,FLC4_2N
X37C,-0.04975529141396935,0.008334532428883674,2,35,FLC4_2N
pH7_3,-0.05551120005387349,0.0122383677419293,2,35,FLC4_2N
GlyEtOH,0.02146297571447938,0.005962426983885363,2,35,FLC4_2N
X02M_NaCl,-0.0323114231954555,0.007984828523431388,2,35,FLC4_2N
SC,-0.042948398469586244,0.009859151414265412,3,2,FLC4_2N
YPD,-0.03695331068807475,0.013732103156282626,3,2,FLC4_2N
pH3_8,-0.07729663270945997,0.021829994380913872,3,2,FLC4_2N
X21C,0.0135070279703535,0.006660713835190312,3,2,FLC4_2N
X37C,-0.035883225975628,0.012638483964438252,3,2,FLC4_2N
pH7_3,-1.734723475976807e-18,0.060643080358538506,3,2,FLC4_2N
GlyEtOH,-0.06291589861254361,0.012695170518847375,3,2,FLC4_2N
X02M_NaCl,-0.12392678888297554,0.007910056924747152,3,2,FLC4_2N
SC,-0.0274366473435645,0.007222158446955363,4,8,FLC4_2N
YPD,-0.021323549556653,0.008673808359316599,4,8,FLC4_2N
pH3_8,-0.02369365396655375,0.008346876665007701,4,8,FLC4_2N
X21C,-0.022264585687917875,0.006771503079727874,4,8,FLC4_2N
X37C,-0.030816136014411757,0.007860112015375826,4,8,FLC4_2N
pH7_3,-0.06280343537341901,0.011111290155992338,4,8,FLC4_2N
GlyEtOH,-0.03391587380313325,0.012022941697118638,4,8,FLC4_2N
X02M_NaCl,-0.028470684034411,0.008172407260781025,4,8,FLC4_2N
SC,-0.01829094267499837,0.0067192248822136,5,5,FLC4_2N
YPD,-0.042354444367667,0.015861567556905248,5,5,FLC4_2N
pH3_8,-0.0081321343866374,0.007799319695166063,5,5,FLC4_2N
X21C,-0.029070278728024014,0.007046165863035237,5,5,FLC4_2N
X37C,-0.022816821551607625,0.008512275396617138,5,5,FLC4_2N
pH7_3,0.004037929474731738,0.007128957268661812,5,5,FLC4_2N
GlyEtOH,-0.016190363796389003,0.012758751121864377,5,5,FLC4_2N
X02M_NaCl,-0.015245007189037502,0.0071792048755586375,5,5,FLC4_2N
