source  ,cluster ,bfa_env ,wmu_x                  ,wse                   ,z                     ,pleio ,is_home
GlyEtOH ,5       ,YPD     ,-0.005849355572597212  ,0.006081338162922475  ,-0.9618533644881573   ,0     ,FALSE
SC      ,5       ,YPD     ,-0.00484350837592423   ,0.01215460374221173   ,-0.39849167267405083  ,0     ,FALSE
CLM     ,6       ,YPD     ,-0.0015683662711569375 ,0.0036537505463395876 ,-0.4292483165628708   ,0     ,FALSE
FLC4    ,6       ,YPD     ,-0.00778720327117005   ,0.006021146910609429  ,-1.29330896368743     ,0     ,FALSE
GlyEtOH ,6       ,YPD     ,0.023044994226146018   ,0.002505975633679694  ,9.196016879185489     ,1     ,FALSE
FLC4    ,7       ,YPD     ,-0.0032654355652619585 ,0.010475612222380257  ,-0.3117178734705006   ,0     ,FALSE
GlyEtOH ,7       ,YPD     ,-0.01751557475453275   ,0.009319959360358088  ,-1.8793617093476012   ,0     ,FALSE
FLC4    ,8       ,YPD     ,-0.005789041585111304  ,0.001444058893219343  ,-4.008868067842706    ,-1    ,FALSE
GlyEtOH ,8       ,YPD     ,0.010811158713881365   ,0.005428182134739047  ,1.9916720635979723    ,1     ,FALSE
FLC4    ,9       ,YPD     ,0.06107070039132643    ,9.097625411159068e-4  ,67.1281764540642      ,1     ,FALSE
GlyEtOH ,9       ,YPD     ,-0.0063145616620826    ,0.008446894338233675  ,-0.7475601575244795   ,0     ,FALSE
FLC4    ,10      ,YPD     ,0.0107137680195454     ,0.004154852702999223  ,2.578615605749768     ,1     ,FALSE
GlyEtOH ,10      ,YPD     ,0.0326734843181886     ,0.001350135736845704  ,24.200147752938555    ,1     ,FALSE
FLC4    ,11      ,YPD     ,-0.010253078465370413  ,0.00572272235582201   ,-1.7916435269552167   ,0     ,FALSE
GlyEtOH ,11      ,YPD     ,-0.0058481578398334975 ,0.0044407349988722766 ,-1.3169346608880368   ,0     ,FALSE
FLC4    ,12      ,YPD     ,0.00778346566752935    ,0.0035749181170104875 ,2.1772430620140315    ,1     ,FALSE
GlyEtOH ,12      ,YPD     ,0.02312043204786716    ,0.0035341717378178012 ,6.541966198321486     ,1     ,FALSE
FLC4    ,13      ,YPD     ,-0.020419912256765625  ,0.006655555546151075  ,-3.068100343415286    ,-1    ,FALSE
GlyEtOH ,13      ,YPD     ,0.022239791596161      ,0.005092845511779175  ,4.366869473013246     ,1     ,FALSE
FLC4    ,14      ,YPD     ,-0.012061335236697288  ,0.006722016756656975  ,-1.7943030601274026   ,0     ,FALSE
GlyEtOH ,14      ,YPD     ,0.020785333692626626   ,0.0049864228900797876 ,4.168385664596939     ,1     ,FALSE
