GOID,GENE
GO:0006366,SWP82
GO:0006366,TAF12
GO:0006366,TAF4
GO:0006366,TAF7
GO:0006366,TBS1
GO:0006366,TFB1
GO:0006366,THO2
GO:0006366,TUP1
GO:0006366,UPC2
GO:0006366,URC2
GO:0006366,VPS15
GO:0006366,WHI2
GO:0006366,YAK1
GO:0006366,YBL021C
GO:0006366,YGR274C
GO:0006366,YJR084W
GO:0006366,YKL222C
GO:0006366,YKR095W
GO:0006366,YLR256W
GO:0006366,YNR063W
GO:0006366,YOR338W
GO:0006366,YPR015C
GO:0006366,YPR196W
GO:0006383,PZF1
GO:0006383,RPB5
GO:0006383,RPC17
GO:0006383,RPC40
GO:0006383,RPO26
GO:0006383,SUB1
GO:0006383,YOR207C
GO:0006397,BRR1
GO:0006397,BRR2
GO:0006397,BUD13
GO:0006397,CCM1
GO:0006397,CEG1
GO:0006397,CET1
GO:0006397,CFT1
GO:0006397,CFT2
GO:0006397,CUS1
GO:0006397,CWC22
GO:0006397,CWC27
GO:0006397,DCP1
GO:0006397,EXO84
GO:0006397,GLC7
GO:0006397,HPR1
GO:0006397,HSH155
GO:0006397,LSM2
GO:0006397,NAB3
GO:0006397,NPL3
GO:0006397,NRD1
GO:0006397,PAN2
GO:0006397,PRP11
GO:0006397,PRP16
GO:0006397,PRP18
GO:0006397,PRP6
GO:0006397,RAT1
GO:0006397,SLU7
GO:0006397,SNU114
GO:0006397,SPP382
GO:0006397,SPT5
GO:0006397,SPT6
GO:0006397,STO1
GO:0006397,SYF1
GO:0006397,THO2
GO:0006397,YDR478W
GO:0006397,YJR084W
GO:0006401,CAF40
GO:0006401,CUE2
GO:0006401,DBP2
GO:0006401,DCP1
GO:0006401,NAB3
GO:0006401,NAM7
GO:0006401,NGR1
GO:0006401,NMD2
GO:0006401,NRD1
GO:0006401,PAN2
GO:0006401,POP1
GO:0006401,PRP18
GO:0006401,RAT1
GO:0006401,RNH1
GO:0006401,RPS28B
GO:0006401,RPT2
GO:0006401,SKI2
GO:0006401,SKI3
GO:0006401,SSD1
GO:0006401,SSN3
GO:0006401,STO1
GO:0006401,TPA1
GO:0006401,UPF3
